97,85,47,66
-78,60,-90,-63
-17,85,-16,19
64,71,55,-24
-26,77,28,91
-38,56,-21,6
48,22,-60,-100
-65,-18,-78,-66
-43,8,69,27
-63,79,-10,29
47,34,-63,30
-63,-68,-50,-50
75,79,5,-60
48,1,-3,-60
96,38,73,-94
73,-21,74,93
-98,-19,-73,57
-2,-100,-28,49
36,12,26,97
-75,66,34,-11
-40,12,74,-96
-56,84,-28,-14
-81,-41,-2,68
-3,77,-79,-91
-87,-68,33,-44
25,-53,-55,24
29,-45,-31,-54
-53,33,-42,-45
-55,51,54,40
18,-58,-34,-92
55,70,66,-16
-31,59,-33,-52
-39,-29,-62,-9
26,-41,-35,-82
-5,-17,74,-77
-13,47,-56,16
-93,13,39,14
93,-4,-81,96
10,-75,-72,7
-9,69,-88,87
-4,-44,-58,82
-98,-67,52,83
7,-79,-32,-80
80,-69,19,-96
-99,68,86,75
49,-32,92,-52
-85,-81,-24,4
19,41,35,-83
17,-7,10,88
88,-22,-36,-88
-76,-45,-30,22
82,-97,-19,-34
-48,26,-91,17
-6,-70,89,6
-83,-68,-37,96
4,14,13,31
-14,77,10,-6
-21,74,91,-76
-88,-69,-81,73
31,47,99,-24
4,-46,-38,-20
2,48,-36,-21
50,-77,-14,-86
55,18,-35,-29
95,-38,-98,-1
26,54,39,-42
55,26,-66,70
58,41,35,43
-52,-43,-94,29
-21,-78,-33,-97
-71,-26,100,-14
-35,-32,92,19
-100,-55,13,-92
52,-74,14,-64
31,41,81,-12
-69,-89,-59,50
40,-76,11,27
-24,-74,-45,-93
53,21,95,63
38,9,-38,-87
-27,-55,97,76
86,41,28,83
-80,47,99,4
17,4,-72,54
-62,91,-18,15
38,91,1,0
82,-90,-64,27
-77,-53,99,-52
-44,44,82,-18
-44,76,-81,-52
25,85,12,-74
-78,45,98,-11
-24,-42,91,-29
-68,-18,-64,4
2,-94,96,-89
-67,-57,-25,99
5,20,18,-3
81,-71,79,-83
28,-47,-27,-43
-21,91,-49,-8
23,-91,27,65
-81,42,36,-77
-31,7,-64,83
15,-61,-30,47
-89,-43,-90,37
99,-71,16,-68
22,3,63,37
-58,-64,-48,25
98,-18,77,21
72,-99,2,44
-30,-4,90,26
-52,-32,50,49
51,-29,-21,-80
-58,55,98,-71
22,21,-56,46
67,67,15,-38
15,-93,-98,49
30,-22,-34,-60
-30,-71,-56,79
-28,-63,79,-19
-23,-29,21,-1
-92,-63,99,51
46,-97,-66,-6
8,64,30,39
73,3,-9,84
16,-99,95,73
-99,-66,-96,-36
60,-29,16,64
51,96,-66,-93
-33,77,-9,19
93,-30,-3,64
80,-85,71,19
-44,-92,14,80
-41,-27,7,-94
-49,-55,-1,17
63,9,-32,-54
-53,-62,84,84
-82,36,43,50
-24,-3,87,5
-90,-17,5,79
32,38,22,94
62,-24,-90,-73
52,-65,56,-38
29,-81,93,58
53,-78,-64,86
35,-51,5,73
-41,-74,78,30
2,82,-50,-11
-88,73,-33,-27
-92,50,-70,-45
-24,-80,14,-52
32,-62,8,-72
37,-51,92,-48
15,-25,86,95
-17,-77,-86,-59
-49,-80,-83,-34
75,-61,-31,-3
21,-3,-83,-29
-56,-60,-46,-43
-56,-21,-89,6
24,95,-68,69
-59,7,70,87
-26,-49,10,55
77,35,69,29
-48,-19,-8,40
18,81,-94,-46
-74,55,81,-8
2,-6,-86,-65
-77,10,-32,69
25,55,-46,52
13,-82,57,99
-18,-68,32,97
75,45,-43,86
39,69,-24,66
-50,63,34,67
-11,39,-27,7
93,53,-88,-2
-69,35,49,-53
-87,55,-80,-26
-54,-50,-68,81
54,68,-42,83
63,28,96,-94
14,1,79,-72
-20,-2,38,-11
30,76,80,-15
46,1,-66,-20
-95,51,43,46
-13,-31,98,-88
-93,56,-26,9
-60,43,42,-45
91,-76,4,-38
-27,65,-87,99
72,-79,3,-80
79,-71,67,87
-90,-4,-77,-57
78,-26,-14,94
-54,-100,-62,46
-17,-45,-96,61
90,0,-69,1
-88,94,15,-33
73,27,-26,-36
70,86,-58,75
-88,54,67,-30
18,-52,53,55
-35,-70,-72,49
-100,97,56,-100
-89,-66,83,50
57,70,-22,100
-81,-31,-78,61
6,-10,-34,88
45,-67,26,-59
68,-47,-40,-68
-38,-86,-18,92
-72,62,66,-98
-31,34,-17,88
-39,-98,53,-100
-24,60,88,83
56,-81,-71,-18
50,-23,-35,-9
62,-98,-78,6
-11,-9,-4,-94
54,12,4,95
-95,31,68,-35
32,-69,28,-25
-40,-18,39,-6
44,-41,-35,-40
-40,87,-15,-21
2,21,-65,-73
42,40,-29,-3
-96,66,27,-32
-14,-44,83,-31
24,-94,76,85
58,79,7,-69
68,-37,-34,-36
-59,-65,-46,23
42,45,26,66
10,31,37,42
48,94,45,69
-38,-33,19,71
18,-95,54,-63
75,-59,42,-100
-22,-15,-55,3
-65,-56,-22,51
97,-72,-33,-48
-50,71,-75,87
-26,-81,66,-19
-65,34,-6,-27
-3,-22,76,-14
50,-75,80,-44
9,-20,-68,95
-96,-3,51,-35
85,88,90,45
-3,5,-4,78
-44,61,86,-47
-93,29,-79,25
-47,17,-91,-35
-80,9,0,81
69,4,33,4
86,-73,-65,62
1,92,24,12
